"","Longitude","Latitude"
"3048574",-87.69450809,41.877454917
"3049220",-87.742536908,41.919718135
"3049841",-87.728440495,41.84746555
"3050494",-87.628167951,41.703068059
"3051119",-87.640881131,41.706940771
"3051806",-87.66730834,41.896710417
"3052619",-87.673015886,41.791451507
"3053425",-87.674494607,41.800672564
"3054133",-87.720743953,41.880547929
"3054752",-87.723361233,41.845498492
"3055450",-87.622729259,41.773585263
"3056029",-87.564824644,41.738573994
"3056713",-87.625639499,41.682511198
"3057348",-87.645565203,41.762908968
"3058022",-87.775906748,41.90925107
"3058652",-87.748890295,41.888658426
"3059356",-87.759344765,41.895376927
"3060032",-87.765197831,41.889761122
"3060846",-87.646549464,41.753790053
"3061627",-87.578350634,41.766224667
"3062343",-87.666208106,41.809656167
"3062983",-87.641669297,41.753313456
"3063650",-87.643874657,41.79173586
"3064231",-87.73453736,41.928019152
"3064852",-87.73453736,41.928019152
"3065500",-87.62743954,41.868165405
"3066178",-87.725813061,41.885808136
"3066790",-87.619526631,41.806837117
"3067471",-87.707373526,41.972670835
"3068079",-87.729008605,41.880685021
"3068907",-87.629020579,41.774548831
"3069696",-87.760088102,41.902202825
"3070480",-87.767207113,41.978242127
"3071097",-87.719750256,41.846991348
"3071772",-87.77226986,41.894129055
"3072443",-87.712684117,41.896434989
"3073147",-87.724776811,41.852196515
"3073762",-87.606114305,41.657322501
"3074468",-87.761578328,41.881329293
"3075196",-87.761578328,41.881329293
"3075906",-87.722060175,41.895404051
"3076720",-87.598623215,41.807805776
"3077504",-87.682317965,41.879916656
"3078251",-87.640711342,41.773895414
"3078991",-87.619346923,41.735432223
"3079686",-87.562248051,41.760382148
"3080407",-87.615256045,41.764880547
"3080997",-87.715243677,41.86029057
"3081742",-87.605326291,41.756115887
"3082320",-87.673355388,41.890883635
"3082974",-87.651288994,41.74955638
"3083530",-87.596650689,41.659605905
"3084201",-87.719940332,41.894308772
"3084793",-87.661934267,41.754879912
"3085534",-87.703185423,41.890107179
"3086261",-87.703185423,41.890107179
"3087037",-87.675911514,41.904141988
"3087676",-87.71359308,41.931955748
"3088349",-87.672000794,41.798520437
"3088950",-87.664717118,41.75300257
"3089612",-87.657446606,41.777749283
"3090214",-87.641389419,41.794369152
"3090899",-87.631554159,41.892422287
